#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
3,VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,False
6,CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,False
9,BlastoiseMega Blastoise,Water,,630,79,103,120,135,115,78,1,False
28,Sandslash,Ground,,450,75,100,110,45,55,65,1,False
59,Arcanine,Fire,,555,90,110,80,100,80,95,1,False
68,Machamp,Fighting,,505,90,130,80,65,85,55,1,False
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,False
98,Krabby,Water,,325,30,105,90,25,25,50,1,False
99,Kingler,Water,,475,55,130,115,50,50,75,1,False
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,False
115,KangaskhanMega Kangaskhan,Normal,,590,105,125,100,60,100,100,1,False
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,False
127,Pinsir,Bug,,500,65,125,100,55,70,85,1,False
127,PinsirMega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1,False
128,Tauros,Normal,,490,75,100,95,40,70,110,1,False
130,GyaradosMega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,False
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,False
142,AerodactylMega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,False
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,False
150,Mewtwo,Psychic,,680,106,110,90,154,90,130,1,True
150,MewtwoMega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1,True
151,Mew,Psychic,,600,100,100,100,100,100,100,1,False
160,Feraligatr,Water,,530,85,105,100,79,83,78,2,False
185,Sudowoodo,Rock,,410,70,100,115,30,65,30,2,False
208,SteelixMega Steelix,Steel,Ground,610,75,125,230,55,95,30,2,False
212,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,False
212,ScizorMega Scizor,Bug,Steel,600,70,150,140,65,100,75,2,False
214,HeracrossMega Heracross,Bug,Fighting,600,80,185,115,40,105,75,2,False
221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,False
232,Donphan,Ground,,500,90,120,120,60,60,50,2,False
244,Entei,Fire,,580,115,115,85,90,75,100,2,True
248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False
248,TyranitarMega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,2,False
250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,True
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False
